id,ecephys_structure_acronym,ecephys_session_id
849705820,DG,779839471
849705822,DG,779839471
849705824,DG,779839471
849705826,DG,779839471
849705828,DG,779839471
849705830,DG,779839471
849705832,DG,779839471
849705834,DG,779839471
849705836,DG,779839471
849705838,DG,779839471
849705840,DG,779839471
849705842,DG,779839471
849705846,DG,779839471
849705848,DG,779839471
849705850,DG,779839471
849705852,DG,779839471
849705854,DG,779839471
849705856,DG,779839471
849705860,DG,779839471
849705862,DG,779839471
849705864,DG,779839471
849705866,DG,779839471
849705868,DG,779839471
849705870,DG,779839471
849705872,DG,779839471
849705874,DG,779839471
849705876,DG,779839471
849705878,DG,779839471
849705880,DG,779839471
849705882,DG,779839471
849705884,DG,779839471
849705886,DG,779839471
849705888,DG,779839471
849705890,DG,779839471
849705892,DG,779839471
849705896,DG,779839471
849705898,DG,779839471
849705900,DG,779839471
849705902,DG,779839471
849705904,DG,779839471
849705906,DG,779839471
849705908,DG,779839471
849705910,DG,779839471
849705912,DG,779839471
849705914,DG,779839471
849705916,DG,779839471
849705918,DG,779839471
849705920,DG,779839471
849705922,DG,779839471
849705924,CA1,779839471
849705926,CA1,779839471
849705928,CA1,779839471
849705930,CA1,779839471
849705934,CA1,779839471
849705936,CA1,779839471
849705938,CA1,779839471
849705940,CA1,779839471
849705944,CA1,779839471
849705946,CA1,779839471
849705948,CA1,779839471
849705950,CA1,779839471
849705952,CA1,779839471
849705954,CA1,779839471
849705956,CA1,779839471
849705958,CA1,779839471
849705960,CA1,779839471
849705962,CA1,779839471
849705964,CA1,779839471
849705966,CA1,779839471
849705968,CA1,779839471
849705970,CA1,779839471
849705972,CA1,779839471
849705974,CA1,779839471
849705976,CA1,779839471
849705978,CA1,779839471
849705980,CA1,779839471
849705982,CA1,779839471
849705984,CA1,779839471
849705986,CA1,779839471
849705988,CA1,779839471
849705990,CA1,779839471
849705992,CA1,779839471
849705994,CA1,779839471
849705996,CA1,779839471
849705998,CA1,779839471
849706000,CA1,779839471
849706002,CA1,779839471
849706004,CA1,779839471
849706006,CA1,779839471
849706008,CA1,779839471
849706012,CA1,779839471
849706014,CA1,779839471
849706016,CA1,779839471
849706018,CA1,779839471
849706020,CA1,779839471
849706022,CA1,779839471
849706024,CA1,779839471
849706026,CA1,779839471
849706028,CA1,779839471
849706030,CA1,779839471
849706032,CA1,779839471
849706034,VISrl,779839471
849706036,VISrl,779839471
849706038,VISrl,779839471
849706040,VISrl,779839471
849706042,VISrl,779839471
849706044,VISrl,779839471
849706046,VISrl,779839471
849706048,VISrl,779839471
849706050,VISrl,779839471
849706052,VISrl,779839471
849706054,VISrl,779839471
849706056,VISrl,779839471
849706058,VISrl,779839471
849706060,VISrl,779839471
849706062,VISrl,779839471
849706064,VISrl,779839471
849706066,VISrl,779839471
849706068,VISrl,779839471
849706070,VISrl,779839471
849706072,VISrl,779839471
849706074,VISrl,779839471
849706076,VISrl,779839471
849706078,VISrl,779839471
849706080,VISrl,779839471
849706082,VISrl,779839471
849706086,VISrl,779839471
849706088,VISrl,779839471
849706090,VISrl,779839471
849706092,VISrl,779839471
849706094,VISrl,779839471
849706096,VISrl,779839471
849706098,VISrl,779839471
849706100,VISrl,779839471
849706102,VISrl,779839471
849706106,VISrl,779839471
849706108,VISrl,779839471
849706110,VISrl,779839471
849706112,VISrl,779839471
849706114,VISrl,779839471
849706116,VISrl,779839471
849706120,VISrl,779839471
849706122,VISrl,779839471
849706124,VISrl,779839471
849706126,VISrl,779839471
849706128,VISrl,779839471
849706130,VISrl,779839471
849706132,VISrl,779839471
849706134,VISrl,779839471
849706136,VISrl,779839471
849706138,VISrl,779839471
849706140,VISrl,779839471
849706142,VISrl,779839471
849706144,VISrl,779839471
849706146,VISrl,779839471
849706148,VISrl,779839471
849706150,VISrl,779839471
849706152,VISrl,779839471
849706154,VISrl,779839471
849706156,VISrl,779839471
849706158,VISrl,779839471
849706160,VISrl,779839471
849706164,VISrl,779839471
849706168,VISrl,779839471
849706170,VISrl,779839471
849706172,VISrl,779839471
849706174,VISrl,779839471
849706176,VISrl,779839471
849706178,VISrl,779839471
849706180,VISrl,779839471
849706182,VISrl,779839471
849706184,VISrl,779839471
849706186,VISrl,779839471
849706188,VISrl,779839471
849706190,VISrl,779839471
849706192,VISrl,779839471
849706194,VISrl,779839471
849706196,VISrl,779839471
849706198,VISrl,779839471
849706200,VISrl,779839471
849706202,VISrl,779839471
849706204,VISrl,779839471
849706206,VISrl,779839471
849706208,VISrl,779839471
849706210,VISrl,779839471
849706212,VISrl,779839471
849706214,VISrl,779839471
849706216,VISrl,779839471
849706218,VISrl,779839471
849706220,VISrl,779839471
849706222,VISrl,779839471
849706224,VISrl,779839471
849706226,VISrl,779839471
849706228,VISrl,779839471
849706230,,779839471
849706232,,779839471
849706234,,779839471
849706238,,779839471
849706240,,779839471
849706242,,779839471
849706244,,779839471
849706246,,779839471
849706248,,779839471
849706250,,779839471
849706252,,779839471
849706254,,779839471
849706256,,779839471
849706258,,779839471
849706260,,779839471
849706262,,779839471
849706264,,779839471
849706266,,779839471
849706268,,779839471
849706270,,779839471
849706272,,779839471
849706274,,779839471
849706276,,779839471
849706278,,779839471
849706284,,779839471
849706286,,779839471
849706288,,779839471
849706290,,779839471
849706292,,779839471
849706294,,779839471
849706296,,779839471
849706298,,779839471
849706300,,779839471
849706302,,779839471
849706304,,779839471
849706306,,779839471
849706308,,779839471
849706310,,779839471
849706312,,779839471
849706316,,779839471
849706318,,779839471
849706322,,779839471
849706794,TH,779839471
849706796,TH,779839471
849706798,TH,779839471
849706800,TH,779839471
849706802,TH,779839471
849706804,TH,779839471
849706806,TH,779839471
849706808,TH,779839471
849706810,TH,779839471
849706812,TH,779839471
849706814,LGd,779839471
849706816,LGd,779839471
849706818,LGd,779839471
849706820,LGd,779839471
849706822,LGd,779839471
849706824,LGd,779839471
849706826,LGd,779839471
849706828,LGd,779839471
849706830,LGd,779839471
849706832,LGd,779839471
849706834,LGd,779839471
849706836,LGd,779839471
849706838,LGd,779839471
849706840,LGd,779839471
849706842,LGd,779839471
849706844,LGd,779839471
849706846,LGd,779839471
849706848,LGd,779839471
849706850,LGd,779839471
849706852,LGd,779839471
849706854,LGd,779839471
849706856,LGd,779839471
849706858,LGd,779839471
849706860,LGd,779839471
849706862,LGd,779839471
849706864,LGd,779839471
849706868,LGd,779839471
849706870,LGd,779839471
849706872,LGd,779839471
849706874,LGd,779839471
849706876,LGd,779839471
849706878,LGd,779839471
849706880,LGd,779839471
849706882,LGd,779839471
849706884,LGd,779839471
849706886,LGd,779839471
849706888,LGd,779839471
849706890,LGd,779839471
849706892,LGd,779839471
849706894,LGd,779839471
849706896,LGd,779839471
849706898,LGd,779839471
849706900,LGd,779839471
849706902,LGd,779839471
