Radius,Theta,Direction,Timestamp
3,3.35103226,2,2023-12-17T12:52:09.7545088+01:00
5,3.1415,1,2023-12-17T12:52:16.7673856+01:00
4,4.18879032,2,2023-12-17T12:52:29.7658112+01:00
5,3.1415,1,2023-12-17T12:52:36.7836032+01:00
3,4.18879032,2,2023-12-17T12:52:49.7695232+01:00
5,3.1415,1,2023-12-17T12:52:56.7746432+01:00
5,4.18879032,2,2023-12-17T12:53:09.7870464+01:00
5,3.1415,1,2023-12-17T12:53:16.7924864+01:00
16,2.29999995,1,2023-12-17T12:53:29.7911680+01:00
5,3.1415,2,2023-12-17T12:53:36.7958144+01:00
16,2.29999995,1,2023-12-17T12:53:49.7941888+01:00
5,3.1415,2,2023-12-17T12:53:56.7997056+01:00
3,2.09439516,1,2023-12-17T12:54:09.7973376+01:00
5,3.1415,2,2023-12-17T12:54:16.8024320+01:00
4,2.93215322,1,2023-12-17T12:54:29.8135296+01:00
5,3.1415,2,2023-12-17T12:54:36.8325760+01:00
5,2.93215322,1,2023-12-17T12:54:49.8163584+01:00
5,3.1415,2,2023-12-17T12:54:56.8314240+01:00
5,3.35103226,2,2023-12-17T12:55:09.8190592+01:00
5,3.1415,1,2023-12-17T12:55:16.8348416+01:00
3,4.18879032,2,2023-12-17T12:55:29.8221696+01:00
5,3.1415,1,2023-12-17T12:55:36.8388096+01:00
4,2.93215322,1,2023-12-17T12:55:49.8269056+01:00
5,3.1415,2,2023-12-17T12:55:56.8313344+01:00
3,3.35103226,2,2023-12-17T12:56:09.8278272+01:00
5,3.1415,1,2023-12-17T12:56:16.8314496+01:00
3,3.76991129,2,2023-12-17T12:56:29.8318208+01:00
5,3.1415,1,2023-12-17T12:56:36.8439424+01:00
3,2.09439516,1,2023-12-17T12:56:49.8351360+01:00
5,3.1415,2,2023-12-17T12:56:56.8477952+01:00
4,2.51327419,1,2023-12-17T12:57:09.8396288+01:00
5,3.1415,2,2023-12-17T12:57:16.8440704+01:00
3,2.51327419,1,2023-12-17T12:57:29.8539136+01:00
5,3.1415,2,2023-12-17T12:57:36.8573312+01:00
3,3.35103226,2,2023-12-17T12:57:49.8558336+01:00
5,3.1415,1,2023-12-17T12:57:56.8725504+01:00
16,2.29999995,1,2023-12-17T12:58:09.8723584+01:00
5,3.1415,2,2023-12-17T12:58:16.8772608+01:00
4,3.35103226,2,2023-12-17T12:58:29.8772224+01:00
5,3.1415,1,2023-12-17T12:58:36.8817792+01:00
5,2.93215322,1,2023-12-17T12:58:49.8805120+01:00
5,3.1415,2,2023-12-17T12:58:56.9076992+01:00
3,4.18879032,2,2023-12-17T12:59:09.8832256+01:00
5,3.1415,1,2023-12-17T12:59:16.8957824+01:00
4,2.51327419,1,2023-12-17T12:59:29.8975616+01:00
5,3.1415,2,2023-12-17T12:59:36.9010944+01:00
3,3.35103226,2,2023-12-17T12:59:49.9026816+01:00
5,3.1415,1,2023-12-17T12:59:56.9079168+01:00
3,2.51327419,1,2023-12-17T13:00:09.9036672+01:00
5,3.1415,2,2023-12-17T13:00:16.9094272+01:00
